observation_date,MKTGDPLKA646NWDB
1960-01-01,1409873949.57983
1961-01-01,1444327731.09244
1962-01-01,1434156378.60082
1963-01-01,1240672268.90756
1964-01-01,1309747899.15966
1965-01-01,1698319327.73109
1966-01-01,1751470588.23529
1967-01-01,1859465020.57613
1968-01-01,1801344537.81513
1969-01-01,1965546218.48739
1970-01-01,2296470588.23529
1971-01-01,2369308600.33727
1972-01-01,2553936348.40871
1973-01-01,2875625000.00000
1974-01-01,3574586466.16541
1975-01-01,3791298145.50642
1976-01-01,3591319857.31272
1977-01-01,4104509582.86359
1978-01-01,2733183856.50224
1979-01-01,3364611432.24149
1980-01-01,4024621899.57653
1981-01-01,4415844155.84416
1982-01-01,4768765016.81884
1983-01-01,5167913302.16745
1984-01-01,6043474842.76729
1985-01-01,5978460972.01767
1986-01-01,6405210563.88294
1987-01-01,6682167119.56522
1988-01-01,6978371581.26375
1989-01-01,6987267683.77254
1990-01-01,8032551173.24014
1991-01-01,9000362581.58086
1992-01-01,9703011635.86585
1993-01-01,10338679635.76160
1994-01-01,11717604208.82230
1995-01-01,13029697560.97560
1996-01-01,13897738375.24880
1997-01-01,15091913883.70910
1998-01-01,15760736956.18520
1999-01-01,15711933513.28310
2000-01-01,16595882818.68570
2001-01-01,15749753804.83440
2002-01-01,16536535647.08340
2003-01-01,18881765437.21510
2004-01-01,20662525941.29850
2005-01-01,24405791044.77610
2006-01-01,28267410542.51640
2007-01-01,32350238760.42390
2008-01-01,40713826215.00930
2009-01-01,42066224093.00650
2010-01-01,58636049434.18710
2011-01-01,67753285896.62540
2012-01-01,70447217163.77840
2013-01-01,76976203829.47650
2014-01-01,82531125190.52240
2015-01-01,85090301052.04649
2016-01-01,88000211171.59560
2017-01-01,94369350285.58141
2018-01-01,94450015982.84050
2019-01-01,88998706296.57829
2020-01-01,84335574581.50720
2021-01-01,88556698937.70329
2022-01-01,74143020262.80760
2023-01-01,83716142582.19450
2024-01-01,98963185509.64990
