observation_date,MKTGNILKA646NWDB
1960-01-01,1406432689.07563
1961-01-01,1407026659.66387
1962-01-01,1438767407.40741
1963-01-01,1223818201.68067
1964-01-01,1306652050.42017
1965-01-01,1683403361.34454
1966-01-01,1750630252.10084
1967-01-01,1855555555.55556
1968-01-01,1771260504.20168
1969-01-01,1953613445.37815
1970-01-01,2142184873.94958
1971-01-01,2158178752.10793
1972-01-01,2352093802.34506
1973-01-01,2622500000.00000
1974-01-01,3230375939.84962
1975-01-01,3369329529.24394
1976-01-01,3056361474.43520
1977-01-01,3523788049.60541
1978-01-01,2501281229.98078
1979-01-01,3358445728.96596
1980-01-01,4067150635.20871
1981-01-01,4391688311.68831
1982-01-01,4817779913.50312
1983-01-01,5141478963.02592
1984-01-01,5870951257.86164
1985-01-01,5953387334.31517
1986-01-01,6378443968.59386
1987-01-01,6653634510.86957
1988-01-01,6961175730.90223
1989-01-01,6936477115.11789
1990-01-01,7973539690.46430
1991-01-01,8925839980.66232
1992-01-01,9680880675.33653
1993-01-01,10339859271.52320
1994-01-01,11645649534.60140
1995-01-01,12859512195.12200
1996-01-01,13701791206.80300
1997-01-01,14917511442.61740
1998-01-01,15511689115.96220
1999-01-01,15427603352.74900
2000-01-01,16276091053.04830
2001-01-01,15467999433.75110
2002-01-01,16285197574.74390
2003-01-01,18710453791.96020
2004-01-01,20457644035.97190
2005-01-01,24106796019.90050
2006-01-01,27878568680.26160
2007-01-01,31997202612.94480
2008-01-01,39744303906.43770
2009-01-01,41580817112.85670
2010-01-01,58018916032.65940
2011-01-01,67101715630.36680
2012-01-01,69233385428.45750
2013-01-01,75225091023.57660
2014-01-01,80722975660.19901
2015-01-01,83069226767.89529
2016-01-01,85804825406.31219
2017-01-01,92054895921.04350
2018-01-01,92053069055.89169
2019-01-01,86529752617.08479
2020-01-01,82055204870.72580
2021-01-01,86567888458.22501
2022-01-01,72241752319.04990
2023-01-01,81171474033.92320
2024-01-01,96498244044.02150
